nappi_code,active_ingredients,product_name,ranking,promotion_from,promotion_to,promotion_price,regular_price,,NOTES:
715347,ABACAVIR,ADCO-ABACAVIR,1,2021-10-10 15:00:00,2021-10-10 09:13:13,545.01,560.44,,
715063,ABACAVIR,ASPEN ABACAVIR,,,,,560.44,,"Columns B and C here are for reference only, so the data capturer can link NAPPI code in this sheet easier to BASE sheet"
720837,ABACAVIR,BAVIR,,,,,560.44,,
714098,ABACAVIR,CIPLA-ABACAVIR,,,,,560.44,,"Pricing is a variable value, and hence goes into the RANKING file. No pricing data in BASE file."
3001799,ABACAVIR,HETACAV,,,,,560.44,,
723608,ABACAVIR,HETERO ABACAVIR,,,,,560.44,,RANKING is te order in which the products will be displayed. HIGHEST ranking for
715493,ABACAVIR,INVERTRON,,,,,560.44,,
715012,ABACAVIR,SONKE ABACAVIR,,,,,560.44,,NAPPI_CODE is the key linking BASE sheet with RANKING sheet.
720866,ABACAVIR,ADCO-ABACAVIR,,,,,285.00,,
713758,ABACAVIR,ASPEN ABACAVIR,,,,,285.00,,"If PROMOTION_FROM and PROMOTION_TO is blank, REGULAR_PRICE will be used, and RANKING will not be in effect."
720838,ABACAVIR,BAVIR,,,,,285.00,,
714099,ABACAVIR,CIPLA-ABACAVIR,,,,,285.00,,PRICE values are EXCLUSIVE OF VAT
3001798,ABACAVIR,HETACAV,,,,,285.00,,
723640,ABACAVIR,HETERO ABACAVIR (NAMIBIA ONLY),,,,,285.00,,"If PROMOTION_FROM and PROMOTION_TO is NOT blank, the PROMOTION_PRICE will be used.Highest RANKING gets 1st spot."
715494,ABACAVIR,INVERTRON,,,,,285.00,,
722096,ABACAVIR/LAMIVUDINE,ABACAVIR AND LAMIVUDINE CIPLA,,,,,633.91,,"If more than one product with a ranking exists, and FIRST spot was already awarded, those with rankings are highest to lowest, then"
717977,ABACAVIR/LAMIVUDINE,DUMIVA,,,,,633.91,,only will items without any ranking be displayed.
3002822,ABACAVIR/LAMIVUDINE,HETBACLAM,,,,,633.91,,
723609,ABACAVIR/LAMIVUDINE,HETERO ABACAVIR SULF&LAM (NAM),,,,,633.91,,"All PRICE columns MUST be in format of RANDS.CENTS, with PERIOD as R/c separator, Spaces will be trimmed out, as per"
722622,ABACAVIR/LAMIVUDINE,HETERUAM,,,,,633.91,,"lines 29 - 32, for example, to become 27738.26. DO NOT use COMMAS in price colums at all."
707321,ABACAVIR/LAMIVUDINE,KIVEXA,,,,,633.91,,
3002799,ABACAVIR/LAMIVUDINE,VEXABAX,,,,,633.91,,PLEASE DELETE ALL COLUMNS FROM I ONWARDS BEFORE IMPORTING.
722296,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,TRELAVUE,,,,,990.07,,
3002458,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,DAMICAVA,,,,,990.07,,
723019,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,TRIUMEQ (NAMIBIA),,,,,990.07,,
714993,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,SONKE ABACLAMIZID,,,,,675.53,,
703537,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,TRIZIVAR,,,,,675.53,,
3002660,ABIRATERONE ACETATE*,ABIRATERONE CIPLA,,,,,27738.26,,
3002487,ABIRATERONE ACETATE*,PROTYGA,,,,,27738.26,,
3002439,ABIRATERONE ACETATE*,TERONRED,,,,,27738.26,,
720690,ABIRATERONE ACETATE*,ZYTEGA,,,,,27738.26,,
824291,ACETYLCYSTEINE,ACC 200,,,,,63.30,,
716267,ACETYLCYSTEINE,AMUCO,,,,,63.30,,
718049,ACETYLCYSTEINE,MUCATAK,,,,,63.30,,
718898,ACETYLCYSTEINE*,PARADOTE,,,,,3732.33,,
788740,ACETYLCYSTEINE*,PARVOLEX,,,,,3732.33,,
704778,ACYCLOVIR,ACITAB-200 DT,,,,,76.28,,
719670,ACYCLOVIR,ACYCLOVIR BIOTECH,,,,,76.28,,
717370,ACYCLOVIR,ACYCLOVIR SANDOZ,,,,,76.28,,
827282,ACYCLOVIR,ADCO-ACYCLOVIR,,,,,76.28,,
717157,ACYCLOVIR,APEX-ACYCLOVIR,,,,,76.28,,
824313,ACYCLOVIR,CYCLIVEX,,,,,76.28,,
838225,ACYCLOVIR,LOVIRE,,,,,76.28,,
833703,ACYCLOVIR,ZOVIRAX,,,,,76.28,,
717371,ACYCLOVIR,ACICLOVIR SANDOZ,,,,,293.74,,
704779,ACYCLOVIR,ACITAB-400 DT,,,,,293.74,,
717158,ACYCLOVIR,APEX-ACYCLOVIR,,,,,293.74,,
860581,ACYCLOVIR,CYCLIVEX,,,,,293.74,,
838233,ACYCLOVIR,LOVIRE,,,,,293.74,,
873551,ACYCLOVIR,ACITOP,,,,,23.65,,
823473,ACYCLOVIR,ACTIVIR 2G  PUMP  PA,,,,,23.65,,
