ACTIVE_INGREDIENTS,PRODUCT_NAME,RANKING,PROMOTION_FROM,PROMOTION_TO,PROMOTION_PRICE,REGULAR_PRICE,,NOTES:
ABACAVIR,ADCO-ABACAVIR,,,,,560.44,,
ABACAVIR,ASPEN ABACAVIR,,,,,560.44,,"Columns B and C here are for reference only, so the data capturer can link NAPPI code in this sheet easier to BASE sheet"
ABACAVIR,BAVIR,,,,,560.44,,
ABACAVIR,CIPLA-ABACAVIR,,,,,560.44,,"Pricing is a variable value, and hence goes into the RANKING file. No pricing data in BASE file."
ABACAVIR,HETACAV,,,,,560.44,,
ABACAVIR,HETERO ABACAVIR,,,,,560.44,,RANKING is te order in which the products will be displayed. HIGHEST ranking for
ABACAVIR,INVERTRON,,,,,560.44,,
ABACAVIR,SONKE ABACAVIR,,,,,560.44,,NAPPI_CODE is the key linking BASE sheet with RANKING sheet.
ABACAVIR,ADCO-ABACAVIR,,,,,285,,
ABACAVIR,ASPEN ABACAVIR,,,,,285,,"If PROMOTION_FROM and PROMOTION_TO is blank, REGULAR_PRICE will be used, and RANKING will not be in effect."
ABACAVIR,BAVIR,,,,,285,,
ABACAVIR,CIPLA-ABACAVIR,,,,,285,,PRICE values are EXCLUSIVE OF VAT
ABACAVIR,HETACAV,,,,,285,,
ABACAVIR,HETERO ABACAVIR (NAMIBIA ONLY),,,,,285,,"If PROMOTION_FROM and PROMOTION_TO is NOT blank, the PROMOTION_PRICE will be used.Highest RANKING gets 1st spot."
ABACAVIR,INVERTRON,,,,,285,,
ABACAVIR/LAMIVUDINE,ABACAVIR AND LAMIVUDINE CIPLA,,,,,633.91,,"If more than one product with a ranking exists, and FIRST spot was already awarded, those with rankings are highest to lowest, then"
ABACAVIR/LAMIVUDINE,DUMIVA,,,,,633.91,,only will items without any ranking be displayed.
ABACAVIR/LAMIVUDINE,HETBACLAM,,,,,633.91,,
ABACAVIR/LAMIVUDINE,HETERO ABACAVIR SULF&LAM (NAM),,,,,633.91,,"All PRICE columns MUST be in format of RANDS.CENTS, with PERIOD as R/c separator, Spaces will be trimmed out, as per"
ABACAVIR/LAMIVUDINE,HETERUAM,,,,,633.91,,"lines 29 - 32, for example, to become 27738.26. DO NOT use COMMAS in price colums at all."
ABACAVIR/LAMIVUDINE,KIVEXA,,,,,633.91,,
ABACAVIR/LAMIVUDINE,VEXABAX,,,,,633.91,,PLEASE DELETE ALL COLUMNS FROM I ONWARDS BEFORE IMPORTING.
ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,TRELAVUE,,,,,990.07,,
ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,DAMICAVA,,,,,990.07,,
ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,TRIUMEQ (NAMIBIA),,,,,990.07,,
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,SONKE ABACLAMIZID,,,,,675.53,,
ABACAVIR/LAMIVUDINE/ZIDOVUDINE,TRIZIVAR,,,,,675.53,,
ABIRATERONE ACETATE*,ABIRATERONE CIPLA,,,,,27 738.26,,
ABIRATERONE ACETATE*,PROTYGA,,,,,27 738.26,,
ABIRATERONE ACETATE*,TERONRED,,,,,27 738.26,,
ABIRATERONE ACETATE*,ZYTEGA,,,,,27 738.26,,
ACETYLCYSTEINE,ACC 200,,,,,63.3,,
ACETYLCYSTEINE,AMUCO,,,,,63.3,,
ACETYLCYSTEINE,MUCATAK,,,,,63.3,,
ACETYLCYSTEINE*,PARADOTE,,,,,3 732.33,,
ACETYLCYSTEINE*,PARVOLEX,,,,,3 732.33,,
ACYCLOVIR,ACITAB-200 DT,,,,,76.28,,
ACYCLOVIR,ACYCLOVIR BIOTECH,,,,,76.28,,
ACYCLOVIR,ACYCLOVIR SANDOZ,,,,,76.28,,
ACYCLOVIR,ADCO-ACYCLOVIR,,,,,76.28,,
ACYCLOVIR,APEX-ACYCLOVIR,,,,,76.28,,
ACYCLOVIR,CYCLIVEX,,,,,76.28,,
ACYCLOVIR,LOVIRE,,,,,76.28,,
ACYCLOVIR,ZOVIRAX,,,,,76.28,,
ACYCLOVIR,ACICLOVIR SANDOZ,,,,,293.74,,
ACYCLOVIR,ACITAB-400 DT,,,,,293.74,,
ACYCLOVIR,APEX-ACYCLOVIR,,,,,293.74,,
ACYCLOVIR,CYCLIVEX,,,,,293.74,,
ACYCLOVIR,LOVIRE,,,,,293.74,,
ACYCLOVIR,ACITOP,,,,,23.65,,
ACYCLOVIR,ACTIVIR 2G  PUMP  PA,,,,,23.65,,
ACYCLOVIR,ADCO-ACYCLOVIR,,,,,23.65,,
ACYCLOVIR,BETA-VIRA,,,,,23.65,,
ACYCLOVIR,ZOTRIN,,,,,23.65,,
ACYCLOVIR,ZOVIRAX,,,,,23.65,,
ACYCLOVIR,ACYRAX,,,,,527.24,,
ACYCLOVIR,ASPEN ACYCLOVIR,,,,,527.24,,
ACYCLOVIR,MYLAN ACYCLOVIR,,,,,527.24,,
ACYCLOVIR,ZOVIRAX,,,,,527.24,,
ADAPALENE*,DAPTA,,,,,258.64,,
ADAPALENE*,DERIVA,,,,,258.64,,
ADAPALENE*,DIFFERIN,,,,,258.64,,
ALENDRONATE,ALENDRONATE 70 OETHMAAN,,,,,228.08,,
ALENDRONATE,DENSATE,,,,,228.08,,
ALENDRONATE,FEMAX,,,,,228.08,,
ALENDRONATE,FOSAGEN,,,,,228.08,,
ALENDRONATE,FOSAMAX ONCE WEEKLY,,,,,228.08,,
ALENDRONATE,OSTENA,,,,,228.08,,
ALENDRONATE,OSTEOBON,,,,,228.08,,
ALENDRONATE,OSTEONATE,,,,,228.08,,
ALFUZOCIN HCL,ALFUWIN XL,,,,,370.56,,
ALFUZOCIN HCL,RANTRAL MR,,,,,370.56,,
ALFUZOCIN HCL,XATRAL XL,,,,,370.56,,
ALLOPURINOL,AUSTELL-ALLOPURINOL,,,,,74.63,,
ALLOPURINOL,LESSURIC,,,,,74.63,,
ALLOPURINOL,PURICOS,,,,,74.63,,
ALLOPURINOL,SANDOZ-ALLOPURINOL,,,,,74.63,,
ALLOPURINOL,ZYLOPRIM,,,,,74.63,,
ALLOPURINOL,ADCO-ALLOPURINOL,,,,,59.88,,
ALLOPURINOL,AUSTELL-ALLOPURINOL,,,,,59.88,,
ALLOPURINOL,LESSURIC,,,,,59.88,,
ALLOPURINOL,PURICOS,,,,,59.88,,
ALLOPURINOL,SANDOZ-ALLOPURINOL,,,,,59.88,,
ALLOPURINOL,ZYLOPRIM,,,,,59.88,,
ALPRAZOLAM,ADCO-ALZAM,,,,,77.52,,
ALPRAZOLAM,AZOR,,,,,77.52,,
ALPRAZOLAM,CPL ALLIANCE ALPRAZOLAM,,,,,77.52,,
ALPRAZOLAM,MYLAN ALPRAZOLAM,,,,,77.52,,
ALPRAZOLAM,XANOR,,,,,77.52,,
ALPRAZOLAM,ZOPAX,,,,,77.52,,
ALPRAZOLAM,ADCO-ALZAM,,,,,108.58,,
ALPRAZOLAM,AZOR,,,,,108.58,,
ALPRAZOLAM,CPL ALLIANCE ALPRAZOLAM,,,,,108.58,,
ALPRAZOLAM,MYLAN ALPRAZOLAM,,,,,108.58,,
ALPRAZOLAM,XANOR,,,,,108.58,,
ALPRAZOLAM,ZOPAX,,,,,108.58,,
ALPRAZOLAM,ADCO-ALZAM,,,,,200.71,,
