id,condition,condition_description,condition_rationale,about_condition,advice_to_patient,exceptions
1,Acute sore throat,Self limiting condition,"A sore throat due to a viral or bacterial cause is a self-limiting condition. Symptoms resolve within 3 days in 40% of people, and within 1 week in 85% of people, irrespective of whether or not the sore throat is due to a streptococcal infection.

There is little evidence to suggest that treatments such as lozenges or throat sprays help to treat the cause of sore throat and patients should be advised to take simple painkillers and implement some self-care measures such as gargling with warm salty water instead.",There is little evidence to suggest that treatments such as lozenges or throat sprays help to treat the cause of sore throat. ,"Patient action:
1. Extremely common and likely to get better in 3-7 days and a maximum of 2 weeks.
2. Most last for an average of 8 days. You will not need antibiotics for most throat infections.
3. Speak to your local pharmacist about Over the Counter (OTC) medicines
4. Take simple painkillers and implement some self care measures such as gargling with warm salty water instead. ","1. Drooling/difficult to swallow - urgent!
2. Persistent high temp over 38 degrees for more than 3 days that doesn’t come down with paracetamol or ibuprofen
3. Symptoms last longer than 10-14 days
4. Hard to breathe/drink fluids"
2,Infrequent cold sores of the lip,Self limiting condition,"Cold sores caused by the herpes simplex virus usually clear up without treatment within 7 to 10 days. Antiviral creams are available over the counter from pharmacies without a prescription and if used correctly, these can help ease symptoms and speed up the healing time. To be effective, these treatments should be applied as soon as the first signs of a cold sore appear. Using an antiviral cream after this initial period is unlikely to have much of an effect.",Cold sores caused by the herpes simplex virus usually clear up without treatment within seven to ten days ,"Antiviral creams are available OTC from pharmacies without a prescription. If used correctly, they can help ease symptoms and speed up the healing time. 

To be effective, apply as soon as the first signs of a cold sore appear.

Using an antiviral cream after this initial period is unlikely to have much of an effect. ","1. Immunocompromised patients
2. Red flag symptoms "
3,"Coughs, colds, nasal congestion",Self limiting condition,Most colds start to improve in 7 to 10 days. Most coughs clear up within two to three weeks. Both conditions can cause nasal congestion. Neither condition requires any treatment.,"1. Most colds start to improve in 7-10 days.
2. Most coughs clear up within 2-3 weeks.
3. Both conditions can cause nasal congestion.
4. Neither condition requires any treatment.
5. However, some over the counter medicines help to relieve short term fevers and nasal congestion. ","These conditions do not require any treatment. However, some over the counter medicines help to relieve short term fevers and nasal congestion. ","1. Temp above 39 degrees
2. Confusion/disorientation
3. Sharp chest pain
4. Symptoms have lasted longer than 3 weeks
5. Coughing up blood"
4,Conjunctivitis,Self limiting condition,"Treatment isn’t usually needed for conjunctivitis as the symptoms usually clear within a week. There are several self-care measures that may help with symptoms. If treatment is needed, then treatment is dependent on the cause:
1. In severe bacterial cases, antibiotic eye drops and eye ointments can be used to clear the infection.
2. Irritant conjunctivitis will clear up as soon as whatever is causing it is removed.
3. Allergic conjunctivitis can usually be treated with antiallergy medications such as antihistamines. The substance that caused the allergy should be avoided.

Treatments for conjunctivitis can be purchased over the counter however almost half of all simple cases of conjunctivitis clear up within ten days without any treatment. Doctors advise that children with infective conjunctivitis do not need to be excluded from school, nursery or child minders, and do not state any requirement for treatment with topical antibiotics.","Treatment is not usually needed for conjunctivitis as the symptoms usually clear within a week. There are several self care measures that may help with symptoms. If treatment is needed, then treatment is dependent on the cause: 
1. In severe bacterial cases, antibiotic eye drops and eye ointments can be used to clear the infection.
2. Irritant conjunctivitis will clear up as soon as whatever is causing it is removed.
3. Allergic conjunctivitis can usually be treated with antiallergy medications such as antihistamines. The substance that caused the allergy should be avoided.",Treatments for conjunctivitis can be purchased over the counter however almost half of all simple cases of conjunctivitis clear up within ten days without any treatment. ,1. Loss of vision/sensitive to light 
5,Infant colic,Self limiting condition,"As colic eventually improves on its own, medical treatment isn’t usually recommended. There are some over-the-counter treatments available that could be tried however; there is limited evidence for the effectiveness of these treatments","As colic eventually improves on its own, medical treatment is not usually recommended. ","Patient Action:
1. Check self care leaflet for advice on comforting baby and treatments available.
2. The most useful intervention is support for parents and reassurance that colic will resolve. 
3. Speak to a healthcare provider if concerns about baby's symptoms or parent/guardian feels unable to cope 
4. There are some over the counter medicines available. However, there is limited evidence for the effectiveness of these treatments. ",
6,Cradle cap,Self limiting condition,"Cradle cap is harmless and doesn’t usually itch or cause discomfort. It usually appears in babies in the first two months of their lives, and clears up without treatment within weeks to a few months","1. Cradle cap is harmless and does not usually itch or cause discomfort.
2. It usually appears in babies in the first two months of their lives, and clears up without treatment within weeks to a few months. ",Cradle cap treatment should not routinely be offered in primary care as the condition is self-limiting and will clear up on its own without the need for treatment. ,If causing distress to the infant and not improving 
7,Haemorrhoids,Self limiting condition,"In many cases, haemorrhoids don't cause symptoms and some people don't even realise they have them. Haemorrhoids often clear up by themselves after a few days. Making simple dietary changes and not straining on the toilet are often recommended first. However, there are many treatments (creams, ointments and suppositories) that can reduce itching and discomfort and these are available over the counter for purchase.","1. In many cases, haemorrhoids do not cause symptoms and some people do not even realise they have them.
2. Haemorrhoids often clear up by themselves after a few days. 
3. Making simple dietary changes and not straining on the toilet are often recommended first. ","Treatments (creams, ointments and suppositories) can reduce itching and discomfort and these are available over the counter for purchase. ",
8,Mild cystitis,Self limiting condition,"Mild cystitis is a common type of urinary tract inflammation, normally caused by an infection; however it is usually more of a nuisance than a cause for serious concern. Mild cases can be defined as those that are responsive to symptomatic treatment but will also clear up on their own. If symptoms don’t improve in 3 days, despite self-care measures, then the patient should be advised to see their GP. Symptomatic treatment using products that reduce the acidity of the urine to reduce symptoms are available, but there's a lack of evidence to suggest they're effective.","1. Mild cystitis is a common type of urinary tract inflammation, normally caused by an infection; however it is usually more of a nuisance than a cause for serious concern.
2. Mild cases can be defined as those that are responsive to symptomatic treatment but will also clear up on their own.
3. If symptoms do not improve in three days, despite self care measures, then you should see your GP. ","Symptomatic treatment using products that reduce the acidity of the urine to reduce symptoms are available, but there is a lack of evidence to suggest they are effective. ",
9,Sunburn,Minor illness suitable for self care,"Most people manage sun burn symptoms themselves or prevent symptoms developing, using sun protection, by using products that can easily be bought in a pharmacy or supermarket.",Most people manage sun burn symptoms themselves or prevent symptoms developing by using sun protection. These products can easily be bought in a pharmacy or supermarket. ,"1. Cool your skin by having a cold bath or shower, sponging it with cold water or holding a flannel to it.
2. Use lotions containing aloe vera to soothe and moisturise the skin and drink plenty of fluids to avoid dehydration.
3. Take painkillers such as paracetamol or ibuprofen to relieve the pain if required.
4. See Practice Nurse if blistered. Pharmacy if normal sunburn",
10,Dandruff,Minor illness suitable for self care,Dandruff is a common skin condition. It can be defined as mild scaling of the scalp without itching. Dandruff isn't contagious or harmful and can be easily treated with over the counter antifungal shampoos. A GP appointment is unnecessary. Patients should be encouraged to manage mild dandruff with long term over the counter treatments.,Dandruff is a common skin condition. It can be defined as mild scaling of the scalp without itching. Dandruff is not contagious or harmful. ,Dandruff can be easily treated with over the counter antifungal shampoos. ,
