id,mnmp_code,active_ingredients,nappi_code,product_name,manufacturer,strength,dosage_form,pack_size,import_date
1,100014,ABACAVIR,715347,ADCO-ABACAVIR,ARV,300MG,TAB,60,2021-10-09
2,100014,ABACAVIR,715063,ASPEN ABACAVIR,APM,300MG,TAB,60,2021-10-09
3,100014,ABACAVIR,720837,BAVIR,AUR,300MG,TAB,60,2021-10-09
4,100014,ABACAVIR,714098,CIPLA-ABACAVIR,C-M,300MG,TAB,60,2021-10-09
5,100014,ABACAVIR,3001799,HETACAV,HET,300MG,TAB,60,2021-10-09
6,100014,ABACAVIR,723608,HETERO ABACAVIR,CSI,300MG,TAB,60,2021-10-09
7,100014,ABACAVIR,715493,INVERTRON,AUR,300MG,TAB,60,2021-10-09
8,100014,ABACAVIR,715012,SONKE ABACAVIR,RAN,300MG,TAB,60,2021-10-09
9,100015,ABACAVIR,720866,ADCO-ABACAVIR,ARV,20MG/ML,SLN,240,2021-10-09
10,100015,ABACAVIR,713758,ASPEN ABACAVIR,APM,20MG/ML,SLN,240,2021-10-09
11,100015,ABACAVIR,720838,BAVIR,AUR,20MG/ML,SLN,240,2021-10-09
12,100015,ABACAVIR,714099,CIPLA-ABACAVIR,C-M,20MG/ML,SLN,240,2021-10-09
13,100015,ABACAVIR,3001798,HETACAV,HET,20MG/ML,SLN,240,2021-10-09
14,100015,ABACAVIR,723640,HETERO ABACAVIR (NAMIBIA ONLY),CSI,20MG/ML,SLN,240,2021-10-09
15,100015,ABACAVIR,715494,INVERTRON,NGI,20MG/ML,SLN,240,2021-10-09
16,100319,ABACAVIR/LAMIVUDINE,722096,ABACAVIR AND LAMIVUDINE CIPLA,C-M,600MG/300MG,TAB,30,2021-10-09
17,100319,ABACAVIR/LAMIVUDINE,717977,DUMIVA,MKG,600MG/300MG,TAB,30,2021-10-09
18,100319,ABACAVIR/LAMIVUDINE,3002822,HETBACLAM,HET,600MG/300MG,TAB,30,2021-10-09
19,100319,ABACAVIR/LAMIVUDINE,723609,HETERO ABACAVIR SULF&LAM (NAM),CSI,600MG/300MG,TAB,30,2021-10-09
20,100319,ABACAVIR/LAMIVUDINE,722622,HETERUAM,HET,600MG/300MG,TAB,30,2021-10-09
21,100319,ABACAVIR/LAMIVUDINE,707321,KIVEXA,GSK,600MG/300MG,TAB,30,2021-10-09
22,100319,ABACAVIR/LAMIVUDINE,3002799,VEXABAX,RAN,600MG/300MG,TAB,30,2021-10-09
23,100877,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,722296,TRELAVUE,GSK,600MG/300MG/50MG,TAB,30,2021-10-09
24,100877,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,3002458,DAMICAVA,C-M,600MG/300MG/50MG,TAB,30,2021-10-09
25,100877,ABACAVIR/LAMIVUDINE/DOLUTEGRAVIR*,723019,TRIUMEQ (NAMIBIA),GSK,600MG/300MG/50MG,TAB,30,2021-10-09
26,100035,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,714993,SONKE ABACLAMIZID,SUN,300/150/300MG,TAB,60,2021-10-09
27,100035,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,703537,TRIZIVAR,GSK,300/150/300MG,TAB,60,2021-10-09
28,100944,ABIRATERONE ACETATE*,3002660,ABIRATERONE CIPLA,C-M,250MG,TAB,120,2021-10-09
29,100944,ABIRATERONE ACETATE*,3002487,PROTYGA,FSP,250MG,TAB,120,2021-10-09
30,100944,ABIRATERONE ACETATE*,3002439,TERONRED,DRE,250MG,TAB,120,2021-10-09
31,100944,ABIRATERONE ACETATE*,720690,ZYTEGA,JAN,250MG,TAB,120,2021-10-09
32,100660,ACETYLCYSTEINE,824291,ACC 200,ROL,200MG,TAB,25,2021-10-09
33,100660,ACETYLCYSTEINE,716267,AMUCO,CAM,200MG,TAB,25,2021-10-09
34,100660,ACETYLCYSTEINE,718049,MUCATAK,ATP,200MG,TAB,25,2021-10-09
35,100662,ACETYLCYSTEINE*,718898,PARADOTE,EQU,200MG/ML,INJ,10,2021-10-09
36,100662,ACETYLCYSTEINE*,788740,PARVOLEX,APM,200MG/ML,INJ,10,2021-10-09
37,100003,ACYCLOVIR,704778,ACITAB-200 DT,C-M,200MG,DSP,25,2021-10-09
38,100003,ACYCLOVIR,719670,ACYCLOVIR BIOTECH,BTL,200MG,TAB,25,2021-10-09
39,100003,ACYCLOVIR,717370,ACYCLOVIR SANDOZ,ROL,200MG,TAB,25,2021-10-09
